LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.2,
AUS,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.1,
AUS,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2017,3.3,
AUS,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2018,3.1,
AUT,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.1,
AUT,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.1,
AUT,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2017,2.9,
AUT,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2018,2.7,
BEL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.3,
BEL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.2,
BEL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2017,3.6,
BEL,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2018,3.8,
CAN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,4.5,
CAN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,4.5,
CAN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2017,4.5,
CAN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2018,4.7,
CZE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,2.5,
CZE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,2.8,
CZE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2017,2.7,
CZE,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2018,2.6,
DNK,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.7,
DNK,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.1,
DNK,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2017,3.8,
DNK,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2018,3.7,
FIN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,1.7,
FIN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,1.9,
FIN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2017,2,
FIN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2018,2.1,
FRA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.7,
FRA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.7,
FRA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2017,3.9,
FRA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2018,3.8,
FRA,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2019,3.8,P
DEU,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,3.3,
DEU,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,3.4,
DEU,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2017,3.3,
DEU,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2018,3.2,
GRC,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,4,
GRC,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2016,4.2,
GRC,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2017,3.5,
GRC,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2018,3.5,
HUN,INFANTMORTALITY,TOT,DEATH_1000BIRTH,A,2015,4.2,
