"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2015",19.8360532778981,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2016",19.2578668492131,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2017",19.8901778395149,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2018",19.3563397422267,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2019",23.9245768538323,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2015",29.215446315136,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2016",32.2886809062046,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2017",33.4254343612172,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2018",28.8987448132482,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2019",25.1328403692699,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","2015",51.7347067110669,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","2016",51.6139006933752,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","2017",48.7943091964919,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","2018",48.6773860664731,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","2019",43.5107151144507,
"CAN","LTUNEMP","TOT","PC_UNEMP","A","2015",11.4742534315627,
"CAN","LTUNEMP","TOT","PC_UNEMP","A","2016",11.6038602555139,
"CAN","LTUNEMP","TOT","PC_UNEMP","A","2017",12.0960991265946,
"CAN","LTUNEMP","TOT","PC_UNEMP","A","2018",10.1009182892504,
"CAN","LTUNEMP","TOT","PC_UNEMP","A","2019",8.49004428726433,
"CZE","LTUNEMP","TOT","PC_UNEMP","A","2015",48.311856851351,
"CZE","LTUNEMP","TOT","PC_UNEMP","A","2016",43.2464528302013,
"CZE","LTUNEMP","TOT","PC_UNEMP","A","2017",35.9833041743798,
"CZE","LTUNEMP","TOT","PC_UNEMP","A","2018",31.7416558768664,
"CZE","LTUNEMP","TOT","PC_UNEMP","A","2019",30.2626266216063,
"DNK","LTUNEMP","TOT","PC_UNEMP","A","2015",26.8948355423937,
"DNK","LTUNEMP","TOT","PC_UNEMP","A","2016",20.7428362011275,
"DNK","LTUNEMP","TOT","PC_UNEMP","A","2017",20.864936553904,
"DNK","LTUNEMP","TOT","PC_UNEMP","A","2018",19.4115131420129,
"DNK","LTUNEMP","TOT","PC_UNEMP","A","2019",16.6137459505713,
"FIN","LTUNEMP","TOT","PC_UNEMP","A","2015",25.0805154547945,
"FIN","LTUNEMP","TOT","PC_UNEMP","A","2016",26.5670310387478,
"FIN","LTUNEMP","TOT","PC_UNEMP","A","2017",24.862881457752,
"FIN","LTUNEMP","TOT","PC_UNEMP","A","2018",22.7557021082778,
"FIN","LTUNEMP","TOT","PC_UNEMP","A","2019",18.4881801275982,
"FRA","LTUNEMP","TOT","PC_UNEMP","A","2015",42.8103323867379,
"FRA","LTUNEMP","TOT","PC_UNEMP","A","2016",44.3914681587735,
"FRA","LTUNEMP","TOT","PC_UNEMP","A","2017",44.0315658977646,
"FRA","LTUNEMP","TOT","PC_UNEMP","A","2018",40.4071268557429,
"FRA","LTUNEMP","TOT","PC_UNEMP","A","2019",38.8331267111712,
"DEU","LTUNEMP","TOT","PC_UNEMP","A","2015",43.9796612786419,
"DEU","LTUNEMP","TOT","PC_UNEMP","A","2016",41.0868713027012,
"DEU","LTUNEMP","TOT","PC_UNEMP","A","2017",41.9107707198998,
"DEU","LTUNEMP","TOT","PC_UNEMP","A","2018",41.3501936646861,
"DEU","LTUNEMP","TOT","PC_UNEMP","A","2019",38.1334821002207,
"GRC","LTUNEMP","TOT","PC_UNEMP","A","2015",73.1126652062501,
"GRC","LTUNEMP","TOT","PC_UNEMP","A","2016",71.9660924705539,
"GRC","LTUNEMP","TOT","PC_UNEMP","A","2017",72.7519257626143,
"GRC","LTUNEMP","TOT","PC_UNEMP","A","2018",70.3467394725231,
"GRC","LTUNEMP","TOT","PC_UNEMP","A","2019",70.1385816926822,
"HUN","LTUNEMP","TOT","PC_UNEMP","A","2015",46.702225588438,
"HUN","LTUNEMP","TOT","PC_UNEMP","A","2016",47.315898228303,
"HUN","LTUNEMP","TOT","PC_UNEMP","A","2017",41.3231719744652,
"HUN","LTUNEMP","TOT","PC_UNEMP","A","2018",39.4893544874372,
"HUN","LTUNEMP","TOT","PC_UNEMP","A","2019",32.8483784685415,
"ISL","LTUNEMP","TOT","PC_UNEMP","A","2015",16.1495269601695,
"ISL","LTUNEMP","TOT","PC_UNEMP","A","2016",8.79228942284529,
"ISL","LTUNEMP","TOT","PC_UNEMP","A","2017",9.23515069109464,
"ISL","LTUNEMP","TOT","PC_UNEMP","A","2018",10.8620692069302,
"ISL","LTUNEMP","TOT","PC_UNEMP","A","2019",7.07532785696041,
"IRL","LTUNEMP","TOT","PC_UNEMP","A","2015",57.5728141967873,
"IRL","LTUNEMP","TOT","PC_UNEMP","A","2016",52.2894736386641,
"IRL","LTUNEMP","TOT","PC_UNEMP","A","2017",46.4566898671549,
"IRL","LTUNEMP","TOT","PC_UNEMP","A","2018",37.591209867801,
"IRL","LTUNEMP","TOT","PC_UNEMP","A","2019",33.2762818095593,
"ITA","LTUNEMP","TOT","PC_UNEMP","A","2015",58.924922850695,
"ITA","LTUNEMP","TOT","PC_UNEMP","A","2016",58.3216443475956,
"ITA","LTUNEMP","TOT","PC_UNEMP","A","2017",58.7792885660486,
"ITA","LTUNEMP","TOT","PC_UNEMP","A","2018",59.0329181620054,
"ITA","LTUNEMP","TOT","PC_UNEMP","A","2019",57.0239432964322,
"JPN","LTUNEMP","TOT","PC_UNEMP","A","2015",35.5140186915887,
"JPN","LTUNEMP","TOT","PC_UNEMP","A","2016",39.5,
"JPN","LTUNEMP","TOT","PC_UNEMP","A","2017",36.7231638418079,
"JPN","LTUNEMP","TOT","PC_UNEMP","A","2018",31.9526627218934,
"JPN","LTUNEMP","TOT","PC_UNEMP","A","2019",32.2981366459627,
"KOR","LTUNEMP","TOT","PC_UNEMP","A","2015",0.369079360907054,
"KOR","LTUNEMP","TOT","PC_UNEMP","A","2016",0.931338554987332,
"KOR","LTUNEMP","TOT","PC_UNEMP","A","2017",1.30923302717203,
"KOR","LTUNEMP","TOT","PC_UNEMP","A","2018",1.36054422127667,
"KOR","LTUNEMP","TOT","PC_UNEMP","A","2019",0.911996999434599,
"LUX","LTUNEMP","TOT","PC_UNEMP","A","2015",28.4266799468093,
"LUX","LTUNEMP","TOT","PC_UNEMP","A","2016",34.9882606144742,
"LUX","LTUNEMP","TOT","PC_UNEMP","A","2017",38.2154348804997,
"LUX","LTUNEMP","TOT","PC_UNEMP","A","2018",24.7218691605596,
"LUX","LTUNEMP","TOT","PC_UNEMP","A","2019",22.7749017007084,
"MEX","LTUNEMP","TOT","PC_UNEMP","A","2015",1.67016995461965,
"MEX","LTUNEMP","TOT","PC_UNEMP","A","2016",1.98565957990445,
"MEX","LTUNEMP","TOT","PC_UNEMP","A","2017",1.95570613778883,
"MEX","LTUNEMP","TOT","PC_UNEMP","A","2018",1.55204622268418,
"MEX","LTUNEMP","TOT","PC_UNEMP","A","2019",1.73997250521615,
"NLD","LTUNEMP","TOT","PC_UNEMP","A","2015",43.5840154792486,
"NLD","LTUNEMP","TOT","PC_UNEMP","A","2016",42.7183683726671,
"NLD","LTUNEMP","TOT","PC_UNEMP","A","2017",40.6777567958995,
"NLD","LTUNEMP","TOT","PC_UNEMP","A","2018",37.9523125201214,
"NLD","LTUNEMP","TOT","PC_UNEMP","A","2019",31.3653104448301,
"NZL","LTUNEMP","TOT","PC_UNEMP","A","2015",13.4831461264571,
"NZL","LTUNEMP","TOT","PC_UNEMP","A","2016",14.0194489821302,
"NZL","LTUNEMP","TOT","PC_UNEMP","A","2017",15.5315612799105,
"NZL","LTUNEMP","TOT","PC_UNEMP","A","2018",13.2024978437825,
"NZL","LTUNEMP","TOT","PC_UNEMP","A","2019",12.5693161990026,
"NOR","LTUNEMP","TOT","PC_UNEMP","A","2015",23.8989340003492,
"NOR","LTUNEMP","TOT","PC_UNEMP","A","2016",27.3780222053462,
"NOR","LTUNEMP","TOT","PC_UNEMP","A","2017",29.4327140476574,
"NOR","LTUNEMP","TOT","PC_UNEMP","A","2018",26.9984295750553,
