LOCATION,Year,Value
AUS,1960,10.275
AUS,1961,10.5082
AUS,1962,10.7005
AUS,1963,10.9069
AUS,1964,11.1216
AUS,1965,11.3409
AUS,1966,11.599498
AUS,1967,11.799078
AUS,1968,12.008635
AUS,1969,12.263014
AUS,1970,12.507349
AUS,1971,13.067265
AUS,1972,13.303664
AUS,1973,13.504538
AUS,1974,13.722571
AUS,1975,13.892995
AUS,1976,14.033083
AUS,1977,14.192234
AUS,1978,14.359255
AUS,1979,14.515729
AUS,1980,14.695356
AUS,1981,14.92326
AUS,1982,15.184247
AUS,1983,15.393472
AUS,1984,15.579391
AUS,1985,15.788312
AUS,1986,16.01835
AUS,1987,16.263874
AUS,1988,16.532164
AUS,1989,16.814416
AUS,1990,17.065128
AUS,1991,17.284036
AUS,1992,17.478635
AUS,1993,17.634808
AUS,1994,17.805468
AUS,1995,18.004882
AUS,1996,18.224767
AUS,1997,18.423037
AUS,1998,18.607584
AUS,1999,18.812264
AUS,2000,19.028802
AUS,2001,19.274701
AUS,2002,19.49521
AUS,2003,19.720737
AUS,2004,19.932722
AUS,2005,20.176844
AUS,2006,20.450966
AUS,2007,20.827622
AUS,2008,21.249199
AUS,2009,21.691653
AUS,2010,22.03175
AUS,2011,22.340024
AUS,2012,22.733465
AUS,2013,23.128129
AUS,2014,23.475686
AUS,2015,23.815995
AUS,2016,24.190907
AUS,2017,24.60186
AUS,2018,24.99286
AUT,1960,7.047539
AUT,1961,7.086299
AUT,1962,7.129864
AUT,1963,7.175811
AUT,1964,7.223801
AUT,1965,7.270889
AUT,1966,7.322066
AUT,1967,7.376998
AUT,1968,7.415403
AUT,1969,7.441055
AUT,1970,7.467086
AUT,1971,7.500482
AUT,1972,7.544201
AUT,1973,7.586115
AUT,1974,7.599038
AUT,1975,7.578903
AUT,1976,7.565525
AUT,1977,7.56843
AUT,1978,7.562305
AUT,1979,7.549425
AUT,1980,7.549433
AUT,1981,7.56871
AUT,1982,7.57414
AUT,1983,7.56191
AUT,1984,7.561434
AUT,1985,7.564984
AUT,1986,7.569794
AUT,1987,7.574586
AUT,1988,7.585317
AUT,1989,7.619566
AUT,1990,7.67785
AUT,1991,7.754891
AUT,1992,7.840709
AUT,1993,7.905632
AUT,1994,7.936118
AUT,1995,7.948278
AUT,1996,7.959016
AUT,1997,7.968041
AUT,1998,7.976789
AUT,1999,7.992323
AUT,2000,8.011566
AUT,2001,8.042293
AUT,2002,8.082121
AUT,2003,8.118245
AUT,2004,8.169441
AUT,2005,8.225278
AUT,2006,8.267948
AUT,2007,8.295189
AUT,2008,8.321541
AUT,2009,8.341483
AUT,2010,8.361069
AUT,2011,8.388534
AUT,2012,8.426311
AUT,2013,8.47723
AUT,2014,8.543932
AUT,2015,8.629519
AUT,2016,8.739806
AUT,2017,8.795073
AUT,2018,8.837707
BEL,1960,9.15349
BEL,1961,9.183948
BEL,1962,9.220578
BEL,1963,9.28977
BEL,1964,9.378114
BEL,1965,9.463668
BEL,1966,9.527808
BEL,1967,9.580991
BEL,1968,9.618756
BEL,1969,9.646033
BEL,1970,9.65555
BEL,1971,9.673162
BEL,1972,9.711115
BEL,1973,9.741721
BEL,1974,9.77242
BEL,1975,9.8007
BEL,1976,9.818228
BEL,1977,9.830358
BEL,1978,9.839534
BEL,1979,9.848382
BEL,1980,9.859243
BEL,1981,9.858982
BEL,1982,9.856303
BEL,1983,9.855521
BEL,1984,9.855372
BEL,1985,9.858309
BEL,1986,9.861824
BEL,1987,9.870234
BEL,1988,9.901665
BEL,1989,9.937697
BEL,1990,9.967378
BEL,1991,10.004486
BEL,1992,10.045165
BEL,1993,10.084479
BEL,1994,10.115601
BEL,1995,10.136814
BEL,1996,10.156641
BEL,1997,10.181246
BEL,1998,10.203012
BEL,1999,10.226419
BEL,2000,10.251247
BEL,2001,10.286571
BEL,2002,10.332783
BEL,2003,10.37613
BEL,2004,10.421133
BEL,2005,10.478617
BEL,2006,10.547956
BEL,2007,10.625701
BEL,2008,10.709976
BEL,2009,10.796498
BEL,2010,10.895589
BEL,2011,10.993616
BEL,2012,11.067748
BEL,2013,11.125033
BEL,2014,11.179778
BEL,2015,11.238474
BEL,2016,11.295003
BEL,2017,11.349081
BEL,2018,11.40374
CAN,1960,18.256447
CAN,1961,18.634666
CAN,1962,18.989309
CAN,1963,19.347231
CAN,1964,19.719595
CAN,1965,20.084314
CAN,1966,20.420867
CAN,1967,20.795138
CAN,1968,21.129417
CAN,1969,21.43983
CAN,1970,21.746497
CAN,1971,21.962032
CAN,1972,22.218463
CAN,1973,22.491777
CAN,1974,22.807969
CAN,1975,23.143275
CAN,1976,23.449808
CAN,1977,23.725843
CAN,1978,23.963203
CAN,1979,24.201544
CAN,1980,24.515667
CAN,1981,24.819915
CAN,1982,25.116942
CAN,1983,25.366451
CAN,1984,25.607053
CAN,1985,25.842116
CAN,1986,26.100278
CAN,1987,26.446601
CAN,1988,26.791747
CAN,1989,27.276781
CAN,1990,27.691138
CAN,1991,28.03742
CAN,1992,28.371264
CAN,1993,28.684764
CAN,1994,29.000663
CAN,1995,29.302311
CAN,1996,29.610218
CAN,1997,29.905948
CAN,1998,30.155173
CAN,1999,30.401286
CAN,2000,30.68573
CAN,2001,31.020902
CAN,2002,31.360079
CAN,2003,31.644028
CAN,2004,31.940655
CAN,2005,32.243753
CAN,2006,32.571174
CAN,2007,32.889025
CAN,2008,33.247118
CAN,2009,33.628895
CAN,2010,34.004889
CAN,2011,34.339328
CAN,2012,34.714222
CAN,2013,35.082954
CAN,2014,35.437435
CAN,2015,35.702908
CAN,2016,36.109487
CAN,2017,36.540268
CAN,2018,37.058856
CZE,1960,9.659818
CZE,1961,9.588016
CZE,1962,9.621808
CZE,1963,9.668741
CZE,1964,9.730019
CZE,1965,9.785102
CZE,1966,9.826188
CZE,1967,9.854241
CZE,1968,9.877632
CZE,1969,9.896695
CZE,1970,9.805157
CZE,1971,9.830602
CZE,1972,9.868379
CZE,1973,9.919519
CZE,1974,9.994761
CZE,1975,10.062366
CZE,1976,10.12822
CZE,1977,10.189312
CZE,1978,10.245686
CZE,1979,10.296489
CZE,1980,10.326792
CZE,1981,10.303208
CZE,1982,10.314321
CZE,1983,10.322823
CZE,1984,10.330481
CZE,1985,10.336742
CZE,1986,10.340737
CZE,1987,10.348834
CZE,1988,10.356359
CZE,1989,10.362257
CZE,1990,10.36274
CZE,1991,10.308682
CZE,1992,10.317807
CZE,1993,10.330607
CZE,1994,10.336162
CZE,1995,10.330759
CZE,1996,10.315353
CZE,1997,10.303642
CZE,1998,10.294943
CZE,1999,10.282784
CZE,2000,10.272503
CZE,2001,10.224192
CZE,2002,10.200774
CZE,2003,10.201651
CZE,2004,10.206923
CZE,2005,10.234092
CZE,2006,10.266646
CZE,2007,10.322689
CZE,2008,10.429692
CZE,2009,10.491492
CZE,2010,10.517247
CZE,2011,10.496672
CZE,2012,10.509286
CZE,2013,10.510719
CZE,2014,10.524783
CZE,2015,10.542942
CZE,2016,10.565284
CZE,2017,10.589526
CZE,2018,10.62643
DNK,1960,4.579603
DNK,1961,4.61169
DNK,1962,4.647733
DNK,1963,4.684481
DNK,1964,4.722074
DNK,1965,4.759011
DNK,1966,4.797381
DNK,1967,4.835358
DNK,1968,4.864879
DNK,1969,4.89186
DNK,1970,4.928748
DNK,1971,4.963126
DNK,1972,4.991596
DNK,1973,5.021862
DNK,1974,5.045298
DNK,1975,5.059862
DNK,1976,5.072597
DNK,1977,5.08842
DNK,1978,5.104248
DNK,1979,5.116802
DNK,1980,5.123027
DNK,1981,5.121572
DNK,1982,5.11781
DNK,1983,5.114297
DNK,1984,5.111619
DNK,1985,5.113691
DNK,1986,5.120534
DNK,1987,5.127024
DNK,1988,5.129517
DNK,1989,5.132594
DNK,1990,5.140939
DNK,1991,5.154298
DNK,1992,5.17137
DNK,1993,5.189377
DNK,1994,5.204994
DNK,1995,5.227861
