Country,Age,Gender,Year,Population
Australia,15-19,Males,2002,696033
Australia,15-19,Males,2003,698587
Australia,15-19,Males,2004,702012
Australia,15-19,Males,2005,708305
Australia,15-19,Males,2006,720491
Australia,15-19,Males,2007,739515
Australia,15-19,Males,2008,756525
Australia,15-19,Males,2009,767426
Australia,15-19,Males,2010,770614
Australia,15-19,Males,2011,765850
Australia,15-19,Males,2012,748674
Australia,15-19,Females,2002,664072
Australia,15-19,Females,2003,665547
Australia,15-19,Females,2004,668445
Australia,15-19,Females,2005,672774
Australia,15-19,Females,2006,684928
Australia,15-19,Females,2007,700766
Australia,15-19,Females,2008,714624
Australia,15-19,Females,2009,726372
Australia,15-19,Females,2010,730396
Australia,15-19 ,Females,2011,726523
Australia,15-19 ,Females,2012,711514
Australia,20-24 ,Males,2002,676737
Australia,20-24 ,Males,2003,696402
Australia,20-24 ,Males,2004,714044
Australia,20-24 ,Males,2005,729792
Australia,20-24 ,Males,2006,746088
Australia,20-24 ,Males,2007,759719
Australia,20-24 ,Males,2008,782998
Australia,20-24 ,Males,2009,810048
Australia,20-24 ,Males,2010,849732
Australia,20-24 ,Males,2011,853731
Australia,20-24 ,Males,2012,827157
Australia,20-24 ,Females,2002,652455
Australia,20-24,Females,2003,667642
Australia,20-24,Females,2004,678268
Australia,20-24,Females,2005,690799
Australia,20-24,Females,2006,707341
Australia,20-24,Females,2007,734417
Australia,20-24,Females,2008,747592
Australia,20-24,Females,2009,771739
Australia,20-24,Females,2010,799927
Australia,20-24,Females,2011,804741
Australia,20-24,Females,2012,795267
Australia,25-29,Males,2002,689035
Australia,25-29,Males,2003,683946
Australia,25-29,Males,2004,683704
Australia,25-29,Males,2005,691706
Australia,25-29,Males,2006,706314
Australia,25-29,Males,2007,729722
Australia,25-29,Males,2008,765653
Australia,25-29,Males,2009,803368
Australia,25-29,Males,2010,844968
Australia,25-29,Males,2011,858021
Australia,25-29,Males,2012,854925
Australia,25-29,Females,2002,687472
Australia,25-29,Females,2003,677970
Australia,25-29,Females,2004,672576
Australia,25-29,Females,2005,675196
Australia,25-29,Females,2006,685650
Australia,25-29,Females,2007,714739
Australia,25-29,Females,2008,747311
Australia,25-29,Females,2009,781035
Australia,25-29,Females,2010,820295
Australia,25-29,Females,2011,833045
Australia,25-29,Females,2012,832921
Australia,40+,Males,2002,4170665
Australia,40+,Males,2003,4272490
Australia,40+,Males,2004,4367733
Australia,40+,Males,2005,4461271
Australia,40+,Males,2006,4546147
Australia,40+,Males,2007,4614752
Australia,40+,Males,2008,4708661
Australia,40+,Males,2009,4811782
Australia,40+,Males,2010,4917740
Australia,40+,Males,2011,5020366
Australia,40+,Males,2012,5090237
Australia,40+,Females,2002,4443998
Australia,40+,Females,2003,4547256
Australia,40+,Females,2004,4643832
Australia,40+,Females,2005,4740066
Australia,40+,Females,2006,4827849
Australia,40+,Females,2007,4912909
Australia,40+,Females,2008,5011311
Australia,40+,Females,2009,5115194
Australia,40+,Females,2010,5228019
Australia,40+,Females,2011,5339162
Australia,40+,Females,2012,5415113
Austria,15-19,Males,2002,245626
Austria,15-19,Males,2003,244981
Austria,15-19,Males,2004,247729
Austria,15-19,Males,2005,249903
Austria,15-19,Males,2006,252013
Austria,15-19,Males,2007,254215
Austria,15-19,Males,2008,256644
Austria,15-19,Males,2009,257309
Austria,15-19,Males,2010,257147
Austria,15-19,Males,2011,254348
Austria,15-19,Males,2012,251511
Austria,15-19,Females,2002,234806
Austria,15-19,Females,2003,233352
Austria,15-19,Females,2004,235329
Austria,15-19,Females,2005,237215
Austria,15-19,Females,2006,239767
Austria,15-19,Females,2007,242109
Austria,15-19,Females,2008,244053
Austria,15-19,Females,2009,245051
Austria,15-19,Females,2010,244097
Austria,15-19,Females,2011,241415
Austria,15-19,Females,2012,238107
Austria,20-24,Males,2002,245262
Austria,20-24,Males,2003,250006
Austria,20-24,Males,2004,258452
Austria,20-24,Males,2005,264775
Austria,20-24,Males,2006,267160
Austria,20-24,Males,2007,265186
Austria,20-24,Males,2008,263114
Austria,20-24,Males,2009,263320
Austria,20-24,Males,2010,263387
Austria,20-24,Males,2011,265026
Austria,20-24,Males,2012,269844
Austria,20-24,Females,2002,237374
Austria,20-24,Females,2003,243018
Austria,20-24,Females,2004,252243
Austria,20-24,Females,2005,259551
Austria,20-24,Females,2006,261651
Austria,20-24,Females,2007,259879
Austria,20-24,Females,2008,258266
Austria,20-24,Females,2009,257633
Austria,20-24,Females,2010,257599
Austria,20-24,Females,2011,259122
Austria,20-24,Females,2012,262119
Austria,25-29,Males,2002,266121
Austria,25-29,Males,2003,253962
Austria,25-29,Males,2004,255358
Austria,25-29,Males,2005,256676
Austria,25-29,Males,2006,261672
Austria,25-29,Males,2007,267215
Austria,25-29,Males,2008,273760
Austria,25-29,Males,2009,277079
Austria,25-29,Males,2010,279220
Austria,25-29,Males,2011,279155
Austria,25-29,Males,2012,279148
Austria,25-29,Females,2002,267902
Austria,25-29,Females,2003,254559
Austria,25-29,Females,2004,253799
Austria,25-29,Females,2005,252684
Austria,25-29,Females,2006,256237
Austria,25-29,Females,2007,262292
Austria,25-29,Females,2008,269906
Austria,25-29,Females,2009,274070
Austria,25-29,Females,2010,277868
Austria,25-29,Females,2011,277711
Austria,25-29,Females,2012,276526
Austria,40+,Males,2002,1806365
Austria,40+,Males,2003,1801281
Austria,40+,Males,2004,1842831
Austria,40+,Males,2005,1885961
Austria,40+,Males,2006,1929153
Austria,40+,Males,2007,1968755
Austria,40+,Males,2008,2006387
Austria,40+,Males,2009,2042754
Austria,40+,Males,2010,2076441
Austria,40+,Males,2011,2106249
Austria,40+,Males,2012,2133816
Austria,40+,Females,2002,2099667
Austria,40+,Females,2003,2111955
Austria,40+,Females,2004,2145830
Austria,40+,Females,2005,2182492
Austria,40+,Females,2006,2217881
Austria,40+,Females,2007,2250983
Austria,40+,Females,2008,2282422
Austria,40+,Females,2009,2312302
Austria,40+,Females,2010,2342358
Austria,40+,Females,2011,2369101
Austria,40+,Females,2012,2394756
Belgium,15-19,Males,2002,308548
Belgium,15-19,Males,2003,308920
Belgium,15-19,Males,2004,311969
Belgium,15-19,Males,2005,316197
Belgium,15-19,Males,2006,323106
Belgium,15-19,Males,2007,328310
Belgium,15-19,Males,2008,332870
Belgium,15-19,Males,2009,333564
Belgium,15-19,Males,2010,332183
Belgium,15-19,Males,2011,329018
Belgium,15-19,Males,2012,325268
Belgium,15-19,Females,2002,295150
Belgium,15-19,Females,2003,295749
Belgium,15-19,Females,2004,299048
Belgium,15-19,Females,2005,302986
Belgium,15-19,Females,2006,309498
Belgium,15-19,Females,2007,315090
Belgium,15-19,Females,2008,319445
Belgium,15-19,Females,2009,320482
Belgium,15-19,Females,2010,318449
Belgium,15-19,Females,2011,315744
Belgium,15-19,Females,2012,312581
Belgium,20-24,Males,2002,324242
Belgium,20-24,Males,2003,326231
